track,artist,release,explicit,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pitches,Timbre,CS,start,Y
On My Way,Tiesto,2017-01-13,0,spotify:track:1pWscEL17ssjbKXIS5nlQv,0.009,0.582,0.168,0.784,0.0,0.636,0.275,0.877,1.0,0.012,0.463,0.75,0.538,0.405,0.109,0.979,0.01,1.116
Lips,The xx,2017-01-13,0,spotify:track:1onfcprzpSGh2LqrBh17AA,0.497,0.449,0.187,0.595,0.535,0.091,0.061,0.742,1.0,0.033,0.768,0.75,0.177,0.402,0.243,0.826,0.01,1.109
A Violent Noise,The xx,2017-01-13,0,spotify:track:661bbtA19xopO3lH0J4Qvr,0.75,0.48,0.216,0.422,0.18,0.0,0.112,0.739,0.0,0.015,0.436,0.75,0.124,0.306,0.039,0.724,0.01,1.09
I Miss You,Grey,2017-01-13,0,spotify:track:53kmwsQcr6R3aBdhRMQqe0,0.37,0.659,0.178,0.776,0.0,0.364,0.104,0.844,1.0,0.076,0.33,0.75,0.684,0.458,0.061,0.979,0.01,1.231
Call Casting,Migos,2017-01-27,1,spotify:track:0jOfl1nZf6sVBTG08Q4brn,0.097,0.845,0.222,0.734,0.0,0.091,0.141,0.855,1.0,0.259,0.501,0.75,0.493,0.377,0.153,0.954,0.011,1.95
Champions,Kanye West,2016-06-10,1,spotify:track:2nBI3iWLhupR7LyAJ5GGkE,0.063,0.653,0.333,0.783,0.0,0.545,0.904,0.923,0.0,0.069,0.53,0.75,0.338,0.412,0.354,0.814,0.011,1.003
Issues,Julia Michaels,2017-07-28,0,spotify:track:7vu0JkJh0ldukEYbTVcqd0,0.403,0.696,0.16,0.414,0.0,0.727,0.043,0.797,1.0,0.043,0.404,0.75,0.45,0.305,0.189,0.96,0.012,3.103
Losin Control,Russ,2017-05-05,1,spotify:track:4cxMGhkinTocPSVVKWIw0d,0.519,0.733,0.227,0.238,0.0,0.545,0.086,0.806,1.0,0.122,0.299,0.75,0.192,0.514,0.195,0.907,0.012,1.132
High For Hours,J. Cole,2017-01-18,1,spotify:track:4WfjYOo0JxommRm1PyObJl,0.455,0.868,0.242,0.445,0.0,0.091,0.148,0.712,1.0,0.425,0.29,0.75,0.691,0.543,0.218,0.899,0.015,1.34
Changing,John Mayer,2017-04-14,0,spotify:track:6eIygPhGcBFKKcxlGTJlY0,0.592,0.353,0.2,0.332,0.003,0.0,0.117,0.77,1.0,0.006,0.826,0.5,0.384,0.287,0.066,0.796,0.016,1.549
Moving On and Getting Over,John Mayer,2017-04-14,0,spotify:track:1crSsvtU9wZB15dIQXV2QH,0.596,0.843,0.258,0.46,0.043,0.545,0.083,0.735,0.0,0.033,0.281,0.75,0.631,0.504,0.147,0.866,0.016,1.567
Love on the Weekend,John Mayer,2017-04-14,0,spotify:track:0oiCeOPwm4zhwfyIpAE37y,0.628,0.684,0.199,0.586,0.001,0.636,0.042,0.767,1.0,0.006,0.439,0.75,0.415,0.42,0.126,0.955,0.016,1.387
Halfway Off The Balcony,Big Sean,2017-02-03,1,spotify:track:4atJ40xfasjdM9ZF3p07BV,0.331,0.451,0.22,0.814,0.0,0.727,0.219,0.809,1.0,0.241,0.47,0.75,0.122,0.525,0.051,0.943,0.016,1.873
Running Back (feat. Lil Wayne),Wale,2017-04-28,1,spotify:track:2h3i5tGUl6hMu572umjcGo,0.083,0.526,0.203,0.676,0.0,0.182,0.148,0.866,1.0,0.128,0.482,0.75,0.077,0.382,0.15,0.921,0.016,1.413
On + Off,Maggie Rogers,2019-01-18,0,spotify:track:2kvwSbG26eHKUJdvH7DiR2,0.295,0.533,0.21,0.596,0.0,0.364,0.259,0.817,1.0,0.014,0.501,0.75,0.24,0.497,0.067,0.966,0.016,1.165
