track,artist,release,explicit,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pitches,Timbre,CS,start,Y
Quit (feat. Ariana Grande),Cashmere Cat,2017-04-28,1,spotify:track:4rwqrKdwlFWJ6LvPYaOtgn,0.106,0.348,0.25,0.411,0.0,0.0,0.083,0.782,0.0,0.019,0.238,0.5,0.12,0.243,0.273,0.803,0.103,1.834
Most Girls,Hailee Steinfeld,2017-04-28,0,spotify:track:10GJQkjRJcZhGTLagFOC62,0.048,0.73,0.191,0.574,0.0,0.818,0.068,0.792,1.0,0.057,0.336,0.75,0.41,0.508,0.146,0.958,0.103,2.065
Carnival (feat. Anthony Hamilton),Gorillaz,2017-04-28,0,spotify:track:5KurnDXzOeIYOMQceYidu7,0.008,0.398,0.116,0.7,0.0,0.364,0.798,0.833,0.0,0.06,0.202,0.75,0.638,0.456,0.066,0.776,0.103,1.22
She's My Collar (feat. Kali Uchis),Gorillaz,2017-04-28,0,spotify:track:3lIxtCaROdRDuTnNBDm3n2,0.008,0.694,0.196,0.825,0.085,1.0,0.096,0.825,1.0,0.009,0.562,0.75,0.457,0.464,0.078,0.951,0.103,1.189
"The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK)",Gorillaz,2017-04-28,1,spotify:track:67fRHOlaYQQFG67D9DkdnW,0.183,0.355,0.224,0.653,0.0,1.0,0.347,0.799,0.0,0.294,0.232,0.75,0.702,0.547,0.159,0.819,0.103,1.155
Love Galore (feat. Travis Scott),SZA,2017-06-09,1,spotify:track:0q75NwOoFiARAVp4EXU4Bs,0.112,0.777,0.268,0.598,0.0,0.0,0.149,0.816,1.0,0.055,0.531,0.75,0.401,0.37,0.218,0.928,0.103,1.344
Sex Murder Party (feat. Jamie Principle & Zebra Katz),Gorillaz,2017-04-28,1,spotify:track:0rOP1naZV8zL7ahMNTDXhL,0.0,0.635,0.251,0.789,0.315,0.636,0.095,0.745,1.0,0.047,0.441,0.75,0.567,0.656,0.086,0.956,0.103,1.098
Colombia Heights (Te Llamo) (feat. J Balvin),Wale,2017-04-28,1,spotify:track:6HL9fQAZ5jwajChlEIqVzf,0.12,0.952,0.216,0.619,0.0,0.091,0.067,0.814,0.0,0.14,0.537,0.75,0.709,0.342,0.233,0.859,0.104,1.199
El Amante,Nicky Jam,2017-01-20,0,spotify:track:3umS4y3uQDkqekNjVpiRUs,0.244,0.642,0.207,0.698,0.0,0.727,0.126,0.835,1.0,0.022,0.804,0.75,0.74,0.398,0.143,0.979,0.104,1.017
Bon Appetit,Katy Perry,2017-06-09,0,spotify:track:4rHmKlFRiFzabiVO6e9w2e,0.131,0.781,0.216,0.803,0.0,0.545,0.212,0.827,1.0,0.042,0.354,0.75,0.522,0.616,0.119,0.993,0.106,1.608
Love Galore,SZA,2017-06-09,1,spotify:track:0q75NwOoFiARAVp4EXU4Bs,0.112,0.777,0.268,0.598,0.0,0.0,0.149,0.816,1.0,0.055,0.531,0.75,0.401,0.37,0.218,0.928,0.106,1.259
Heatstroke,Calvin Harris,2017-06-30,1,spotify:track:60APt5N2NRaKWf5xzJdzyC,0.342,0.763,0.218,0.735,0.0,0.0,0.213,0.864,0.0,0.033,0.379,0.75,0.72,0.453,0.098,0.852,0.106,1.209
Everyday We Lit,YFN Lucci,2017-03-03,1,spotify:track:4PzovBqgnSHKd8opsP7IVM,0.129,0.732,0.183,0.651,0.0,0.636,0.06,0.859,1.0,0.094,0.658,0.75,0.59,0.424,0.125,0.993,0.106,1.238
Bad Things - With Camila Cabello,Machine Gun Kelly,2017-05-12,0,spotify:track:1PSBzsahR2AKwLJgx8ehBj,0.215,0.659,0.229,0.698,0.0,0.182,0.174,0.858,1.0,0.131,0.548,0.75,0.292,0.479,0.11,0.966,0.106,1.148
Chantaje,Shakira,2017-05-26,0,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,0.188,0.845,0.181,0.782,0.0,0.727,0.146,0.911,0.0,0.058,0.33,0.75,0.923,0.411,0.237,0.887,0.106,1.041
Sweet Creature,Harry Styles,2017-05-12,0,spotify:track:5kRPPEWFJIMox5qIkQkiz5,0.752,0.332,0.213,0.256,0.0,0.636,0.049,0.748,1.0,0.005,0.342,0.75,0.212,0.228,0.079,0.829,0.107,1.821
Felices los 4,Maluma,2018-05-18,0,spotify:track:1RouRzlg8OKFeqc6LvdxmB,0.214,0.742,0.219,0.764,0.0,0.455,0.348,0.826,1.0,0.116,0.281,0.75,0.723,0.463,0.244,0.981,0.108,1.209
Call on Me - Ryan Riback Remix,Starley,2016-10-18,0,spotify:track:2L6orAlH8tBhiFTumIfMyF,0.061,0.626,0.21,0.848,0.001,0.0,0.146,0.879,1.0,0.014,0.348,0.75,0.724,0.483,0.147,0.914,0.109,2.067
Slow Hands,Niall Horan,2017-10-20,0,spotify:track:2cOUlop2ZakjOKe4WinesN,0.011,0.705,0.173,0.424,0.0,0.0,0.036,0.803,1.0,0.025,0.232,0.75,0.862,0.612,0.183,0.859,0.109,2.795
America,Logic,2017-05-05,1,spotify:track:77mLzdHEWRB60CLlV02TV2,0.131,0.83,0.33,0.9,0.0,0.091,0.1,0.874,1.0,0.099,0.409,0.75,0.602,0.594,0.096,0.95,0.11,2.136
Hallelujah,Logic,2017-05-05,1,spotify:track:7fRfIvHPH6bHdMDjPFwTMh,0.497,0.622,0.458,0.6,0.0,1.0,0.34,0.754,0.0,0.177,0.537,0.75,0.457,0.506,0.138,0.852,0.11,2.03
Killing Spree,Logic,2017-05-05,1,spotify:track:6OQea06z3cbOqYgG2O6eOZ,0.031,0.85,0.193,0.766,0.0,0.091,0.089,0.828,0.0,0.216,0.464,0.75,0.161,0.526,0.132,0.844,0.11,1.817
Take It Back,Logic,2017-05-05,1,spotify:track:6HN5XPJEV31RQJGoyqZ81K,0.063,0.827,0.405,0.85,0.0,0.636,0.327,0.871,1.0,0.229,0.531,0.75,0.698,0.639,0.138,0.991,0.11,1.808
Ink Blot,Logic,2017-05-05,1,spotify:track:732btJLGu7gYNHHNdzshrG,0.036,0.721,0.138,0.698,0.0,1.0,0.629,0.807,0.0,0.062,0.586,0.75,0.347,0.491,0.239,0.832,0.11,1.997
AfricAryaN,Logic,2017-05-05,1,spotify:track:76ZrqdtkKxhMl42xAQTnFm,0.155,0.456,0.764,0.808,0.0,0.909,0.068,0.792,1.0,0.152,0.342,0.75,0.344,0.521,0.365,0.895,0.11,1.726
Mos Definitely,Logic,2017-05-05,1,spotify:track:53LkLW4k4w7EOayzvx70O9,0.098,0.546,0.193,0.884,0.0,0.909,0.106,0.879,0.0,0.281,0.101,0.75,0.74,0.527,0.233,0.843,0.11,1.665
Anziety,Logic,2017-05-05,1,spotify:track:6CvTbrBxxc5jFwqsivhpxh,0.328,0.528,0.419,0.809,0.0,0.091,0.104,0.806,1.0,0.049,0.458,0.75,0.573,0.516,0.069,0.937,0.11,1.871
Waiting Room,Logic,2017-05-05,1,spotify:track:4GP2Idcs08NqAjfEV0rsl6,0.762,0.659,0.277,0.221,0.0,0.545,0.146,0.484,1.0,0.894,0.525,0.75,0.661,0.646,0.188,0.772,0.11,1.628
Want You Back,HAIM,2017-07-07,0,spotify:track:2wXhdaTnmkkFSOidKfnOxA,0.122,0.583,0.221,0.863,0.0,0.0,0.371,0.882,1.0,0.027,0.396,0.75,0.363,0.567,0.057,0.915,0.11,1.523
Eyes Closed,Halsey,2017-06-02,0,spotify:track:2WQn7Yvs728KZmmY6tgWqH,0.018,0.518,0.189,0.69,0.0,0.091,0.067,0.852,0.0,0.021,0.501,0.75,0.014,0.269,0.223,0.814,0.11,1.218
Told You So,Paramore,2017-05-12,0,spotify:track:7BpYWzZwrsljT1eIjb0TqR,0.003,0.588,0.174,0.824,0.0,0.182,0.033,0.832,0.0,0.017,0.463,0.75,0.92,0.543,0.13,0.834,0.11,1.265
Either Way,Chris Stapleton,2017-05-05,0,spotify:track:6Wo5YxkdXgwzKQZbDg2r17,0.86,0.607,0.239,0.053,0.0,0.364,0.091,0.569,1.0,0.021,0.497,0.75,0.264,0.073,0.068,0.775,0.11,1.136
Broken Halos,Chris Stapleton,2017-05-05,0,spotify:track:06gD2ZtK3Dzc1BYqWExQJJ,0.135,0.557,0.165,0.566,0.0,0.727,0.039,0.79,1.0,0.002,0.186,0.75,0.537,0.253,0.187,0.949,0.11,1.167
Cherry Hill,Russ,2017-05-05,0,spotify:track:6qcuRcbz8DCLG6nG4or8Uo,0.162,0.64,0.211,0.469,0.422,0.182,0.092,0.683,0.0,0.015,0.501,0.75,0.012,0.289,0.294,0.788,0.11,1.089
Me You,Russ,2017-05-05,1,spotify:track:4f1QbCjIAgQwnf7ms9NXWx,0.002,0.665,0.147,0.77,0.0,0.727,0.128,0.916,1.0,0.01,0.288,0.75,0.217,0.294,0.073,0.95,0.11,1.214
Malibu,Miley Cyrus,2017-09-29,0,spotify:track:1UZOjK1BwmwWU14Erba9CZ,0.077,0.509,0.221,0.79,0.0,0.727,0.064,0.81,1.0,0.035,0.561,0.75,0.332,0.427,0.064,0.963,0.115,4.798
Carolina,Harry Styles,2017-05-12,0,spotify:track:3Dwq1oiOFys6Sxr5SslmXw,0.001,0.57,0.175,0.678,0.0,0.364,0.088,0.879,0.0,0.004,0.452,0.75,0.453,0.35,0.041,0.91,0.116,1.805
Rollin (feat. Future & Khalid),Calvin Harris,2017-05-12,1,spotify:track:3FDrI0FLKzrYQiWxPhqV2W,0.453,0.727,0.266,0.77,0.0,0.545,0.215,0.865,0.0,0.066,0.268,0.75,0.678,0.508,0.096,0.907,0.116,3.362
Meet Me in the Hallway,Harry Styles,2017-05-12,0,spotify:track:4u9Y4Z9i9VaAbBK7rW1Rha,0.753,0.466,0.216,0.38,0.0,0.182,0.355,0.807,1.0,0.002,0.343,0.75,0.328,0.196,0.084,0.861,0.116,1.47
Two Ghosts,Harry Styles,2017-05-12,0,spotify:track:4B1rpPmQXwj78wk6aIGwwU,0.235,0.283,0.219,0.404,0.0,0.545,0.083,0.79,0.0,0.004,0.131,0.75,0.451,0.22,0.139,0.859,0.116,1.445
Ever Since New York,Harry Styles,2017-05-12,0,spotify:track:5LABCxgmP7DATATIJXOh6n,0.201,0.287,0.244,0.539,0.0,0.909,0.11,0.8,1.0,0.008,0.488,1.0,0.374,0.341,0.094,0.918,0.116,1.401
Kiwi,Harry Styles,2017-05-12,0,spotify:track:33SNO8AaciGbNaQFkxvPrW,0.001,0.27,0.16,0.943,0.0,0.182,0.315,0.919,1.0,0.035,0.605,0.75,0.487,0.51,0.05,0.904,0.116,1.474
Only Angel,Harry Styles,2017-05-12,0,spotify:track:5Lbsc65org0b85kNsPkluY,0.289,0.486,0.286,0.852,0.0,0.455,0.09,0.876,1.0,0.018,0.403,0.75,0.337,0.418,0.117,0.971,0.116,1.468
Woman,Harry Styles,2017-05-12,0,spotify:track:33bURv895AN4FkBvgFo2dx,0.017,0.57,0.272,0.652,0.004,0.273,0.212,0.86,0.0,0.011,0.537,0.75,0.37,0.372,0.25,0.903,0.116,1.443
From the Dining Table,Harry Styles,2017-05-12,0,spotify:track:1IF5UcqRO42D12vYwceOY6,0.81,0.628,0.199,0.147,0.054,0.727,0.097,0.525,1.0,0.015,0.282,0.75,0.183,0.236,0.166,0.786,0.116,1.441
Forgiveness,Paramore,2017-05-12,0,spotify:track:74ABBu8osxqmuFOAKcWWpG,0.061,0.744,0.208,0.814,0.005,0.182,0.051,0.783,1.0,0.013,0.391,0.75,0.786,0.582,0.047,0.941,0.116,1.645
Whatever It Takes,Imagine Dragons,2017-06-23,0,spotify:track:6Qn5zhYkTa37e91HC1D7lb,0.036,0.629,0.187,0.66,0.0,0.909,0.101,0.85,0.0,0.009,0.53,0.75,0.555,0.346,0.134,0.881,0.116,1.613
Somethin Tells Me,Bryson Tiller,2017-05-26,1,spotify:track:3Jrs7cC2OJNlNSy9VnDOMZ,0.036,0.705,0.18,0.592,0.0,0.455,0.091,0.787,0.0,0.215,0.257,0.75,0.428,0.4,0.544,0.914,0.116,1.316
Get Mine,Bryson Tiller,2017-05-10,1,spotify:track:4sxLB4ibrNZko2Y9wHfwZ3,0.058,0.597,0.201,0.536,0.0,0.091,0.105,0.774,1.0,0.419,0.317,0.75,0.42,0.429,0.115,0.913,0.116,1.268
Rose-Colored Boy,Paramore,2017-05-12,0,spotify:track:2RJfK2pOvGpnxC255YOy5k,0.002,0.744,0.2,0.836,0.0,0.455,0.01,0.853,1.0,0.011,0.409,0.75,0.943,0.529,0.088,0.948,0.116,1.273
Go For Broke (feat. James Arthur),Machine Gun Kelly,2017-05-12,1,spotify:track:0a5MTajqAAg3h3cpMLYOrb,0.243,0.425,0.198,0.775,0.0,0.091,0.071,0.9,1.0,0.33,0.801,0.75,0.65,0.465,0.092,0.923,0.116,1.117
Fake Happy,Paramore,2017-05-12,0,spotify:track:6t44iU80A0h8WQ7vc4OoRj,0.076,0.703,0.225,0.63,0.0,0.636,0.156,0.831,1.0,0.024,0.309,0.75,0.434,0.387,0.156,0.98,0.116,1.088
Gospel,Rich Brian,2017-05-12,1,spotify:track:2PqSNVmiEQpFkLoNPoDfwI,0.001,0.64,0.157,0.664,0.0,0.818,0.094,0.81,1.0,0.26,0.659,0.75,0.208,0.419,0.101,0.945,0.118,1.072
Gilligan,DRAM,2017-04-21,1,spotify:track:2frDm1v0SFNyeduw3gO632,0.029,0.873,0.195,0.678,0.0,0.091,0.315,0.772,1.0,0.198,0.61,0.75,0.624,0.461,0.212,0.941,0.119,1.059
Mama,Jonas Blue,2018-11-09,0,spotify:track:7jEyX4bqaCSdMN4D4JNnVj,0.102,0.708,0.169,0.803,0.0,1.0,0.034,0.876,0.0,0.02,0.342,0.75,0.566,0.403,0.116,0.868,0.12,1.574
Bad Liar,Selena Gomez,2017-05-18,0,spotify:track:2fZQIJew3nkNe99s2PKzul,0.19,0.982,0.202,0.413,0.0,0.091,0.059,0.81,1.0,0.051,0.446,0.75,0.736,0.288,0.564,0.915,0.121,4.264
The Promise,Chris Cornell,2017-03-03,0,spotify:track:3tM778lBLL9SjnN0OHWgHH,0.278,0.332,0.253,0.624,0.0,0.455,0.11,0.771,0.0,0.011,0.596,0.75,0.316,0.491,0.101,0.895,0.121,1.213
Strip That Down,Liam Payne,2017-05-18,0,spotify:track:4Ro98RCK90oHqqSZUnTFq5,0.221,0.872,0.191,0.497,0.0,0.545,0.058,0.837,1.0,0.035,0.354,0.75,0.541,0.257,0.096,0.979,0.122,3.441
Swish Swish,Katy Perry,2017-06-09,1,spotify:track:3OtMnyUaiipcAT23A8liyi,0.019,0.83,0.233,0.712,0.0,0.455,0.086,0.845,0.0,0.023,0.439,0.75,0.575,0.49,0.047,0.91,0.122,2.016
Crying in the Club,Camila Cabello,2017-05-18,0,spotify:track:1SJtlNRJDeYHioymcvsqev,0.336,0.221,0.204,0.621,0.0,0.545,0.15,0.827,0.0,0.382,0.228,0.75,0.605,0.47,0.175,0.846,0.122,2.265
Trap Paris (feat. Quavo & Ty Dolla $ign),Machine Gun Kelly,2017-05-12,1,spotify:track:5hfpu8saHLGedbHRtNCYjm,0.024,0.984,0.189,0.651,0.0,0.364,0.074,0.856,0.0,0.039,0.47,0.75,0.182,0.192,0.158,0.871,0.122,1.285
Sorry for Now,Linkin Park,2017-05-19,0,spotify:track:34isqXjbTstbYwl2MfdzDq,0.01,0.551,0.19,0.587,0.0,0.091,0.193,0.803,1.0,0.013,0.287,0.75,0.236,0.361,0.102,0.908,0.122,1.285
Looking for a Star,XXXTENTACION,2017-05-16,1,spotify:track:1B3TX5FbmcVROMv2riOwyE,0.151,0.922,0.117,0.699,0.0,0.818,0.08,0.777,1.0,0.067,0.434,0.75,0.72,0.594,0.175,0.972,0.122,1.208
X Men,Lil Yachty,2017-05-26,1,spotify:track:1Xpj3QviqIEVqPS2YbivL3,0.003,0.87,0.147,0.548,0.0,0.091,0.094,0.842,1.0,0.113,0.562,0.75,0.036,0.333,0.144,0.885,0.122,1.15
May I Have This Dance (Remix) [feat. Chance the Rapper],Francis and the Lights,2017-05-18,0,spotify:track:0VaIsQoIQY10uxBrOyZ5cQ,0.467,0.763,0.181,0.434,0.0,0.727,0.074,0.73,1.0,0.044,0.257,0.75,0.879,0.391,0.049,0.928,0.122,1.084
OK,Robin Schulz,2017-09-29,0,spotify:track:32y9LSjv2Q49T3NnkETXCm,0.119,0.605,0.174,0.82,0.0,0.636,0.111,0.821,0.0,0.035,0.452,0.75,0.584,0.498,0.043,0.914,0.122,1.028
BUTTERFLY EFFECT,Travis Scott,2018-08-03,0,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,0.053,0.738,0.176,0.632,0.0,1.0,0.098,0.826,1.0,0.029,0.567,0.75,0.175,0.142,0.254,0.928,0.123,2.684
Flex Like Ouu,Lil Pump,2017-10-06,1,spotify:track:2hJWZvTw4QVBwC14ZNs1Ib,0.19,0.852,0.085,0.434,0.0,0.545,0.075,0.669,1.0,0.046,0.573,0.75,0.711,0.387,0.135,0.954,0.123,1.1
SUBEME LA RADIO,Enrique Iglesias,2017-02-24,0,spotify:track:7nKBxz47S9SD79N086fuhn,0.075,0.643,0.195,0.833,0.0,0.818,0.095,0.9,0.0,0.058,0.263,0.75,0.651,0.418,0.097,0.886,0.123,1.014
Everyday We Lit (Remix),YFN Lucci,2017-05-11,1,spotify:track:2KtGuSoEszAKKjF7Yovhcg,0.131,0.718,0.226,0.658,0.0,0.636,0.158,0.86,1.0,0.037,0.658,0.75,0.609,0.382,0.126,0.995,0.123,1.027
Disrespectful,GASHI,2019-09-20,1,spotify:track:3Z0yKSQsuYF2kbhI9QHj7T,0.011,0.676,0.188,0.546,0.0,0.091,0.108,0.769,1.0,0.04,0.634,0.75,0.115,0.371,0.108,0.897,0.125,1.226
Mask Off - Remix,Future,2017-05-23,1,spotify:track:6DB2KOEwHnjkgEnBt5SdeJ,0.011,0.695,0.249,0.43,0.017,0.182,0.515,0.648,1.0,0.395,0.622,0.75,0.206,0.226,0.232,0.874,0.126,3.377
Reminding Me,Shawn Hook,2017-06-16,0,spotify:track:6n72bDAxbWOkWaJnlfQfIZ,0.09,0.504,0.197,0.566,0.0,0.818,0.064,0.855,0.0,0.021,0.518,0.75,0.239,0.388,0.139,0.872,0.127,1.25
Self-Made,Bryson Tiller,2017-05-26,1,spotify:track:2rUwQj4SWaP2anuGDtNpYR,0.003,0.942,0.151,0.709,0.0,0.636,0.261,0.895,0.0,0.071,0.58,0.75,0.528,0.419,0.463,0.906,0.128,1.617
There for You,Martin Garrix,2017-05-26,0,spotify:track:6jA8HL9i4QGzsj6fjoxp8Y,0.125,0.554,0.21,0.649,0.0,0.545,0.109,0.775,0.0,0.034,0.354,0.75,0.109,0.379,0.094,0.893,0.128,3.034
No Longer Friends,Bryson Tiller,2017-05-26,1,spotify:track:4IdAIZRVkwuQQnHpi529cn,0.206,0.604,0.115,0.668,0.0,1.0,0.089,0.77,1.0,0.321,0.404,0.75,0.368,0.587,0.13,0.94,0.128,1.655
Met Gala (feat. Offset),Gucci Mane,2017-05-26,1,spotify:track:2XaInsPPUkZRkY4uFJ3AHK,0.052,0.803,0.196,0.59,0.002,0.182,0.174,0.807,1.0,0.09,0.562,0.75,0.342,0.332,0.245,0.955,0.128,1.95
Blowing Smoke,Bryson Tiller,2017-05-26,1,spotify:track:4B2OmQGLBVB51aYNgUvXeM,0.014,0.927,0.164,0.445,0.0,0.727,0.108,0.879,1.0,0.146,0.488,0.75,0.28,0.293,0.227,0.952,0.128,1.519
Run Me Dry,Bryson Tiller,2017-05-26,1,spotify:track:5GG3knKdxKWrNboRijxeKF,0.395,0.597,0.152,0.764,0.0,0.818,0.192,0.735,0.0,0.492,0.889,0.75,0.597,0.68,0.183,0.861,0.128,1.435
We Both Know,Bryson Tiller,2017-05-26,1,spotify:track:3tuyK9qfen7lPMji9Saw3d,0.161,0.924,0.143,0.389,0.0,0.909,0.088,0.848,0.0,0.31,0.51,0.75,0.543,0.447,0.283,0.864,0.128,1.583
Stay Blessed,Bryson Tiller,2017-05-26,1,spotify:track:6dxU7Xf9j2yNI7aCcT8W1g,0.188,0.452,0.236,0.485,0.0,0.455,0.159,0.696,0.0,0.455,0.669,0.75,0.274,0.392,0.086,0.869,0.128,1.479
Rain On Me (Intro),Bryson Tiller,2017-05-26,0,spotify:track:52LjL3x9tNh6C4eI6SMceX,0.024,0.385,0.126,0.566,0.0,0.091,0.087,0.728,0.0,0.205,0.452,0.75,0.4,0.511,0.175,0.867,0.128,1.698
You Got It,Bryson Tiller,2017-05-26,0,spotify:track:5xGH4fqJwvMynXn3dcmbpr,0.424,0.768,0.16,0.485,0.0,1.0,0.345,0.761,0.0,0.264,0.47,0.75,0.695,0.573,0.181,0.856,0.128,1.546
In Check,Bryson Tiller,2017-05-26,1,spotify:track:4nBhjVklA3Mtnyzshg4KmD,0.946,0.365,0.184,0.204,0.0,0.455,0.094,0.626,1.0,0.083,0.416,0.75,0.409,0.458,0.152,0.79,0.128,1.483
Strangers,Halsey,2017-06-02,0,spotify:track:11EDhDAVDtGPoSar6ootYA,0.01,0.65,0.209,0.793,0.0,1.0,0.211,0.859,1.0,0.035,0.378,0.75,0.27,0.503,0.28,0.937,0.128,1.565
High Stakes,Bryson Tiller,2017-05-26,1,spotify:track:6ZCsp2zQsSTCilvGVefGVN,0.043,0.405,0.167,0.677,0.0,0.636,0.634,0.806,1.0,0.448,0.191,0.75,0.219,0.441,0.14,0.873,0.128,1.44
Teach Me a Lesson,Bryson Tiller,2017-05-26,1,spotify:track:4KVVCo25PROevpOdHyvYRk,0.653,0.569,0.194,0.415,0.0,0.0,0.203,0.764,1.0,0.225,0.448,0.75,0.475,0.401,0.238,0.878,0.128,1.445
Set It Off,Bryson Tiller,2017-05-26,1,spotify:track:1oQQ5pf4hft7C3s75B8fXb,0.558,0.467,0.205,0.508,0.0,0.636,0.24,0.701,0.0,0.164,0.598,0.75,0.258,0.404,0.139,0.867,0.128,1.375
Money Problems / Benz Truck,Bryson Tiller,2017-05-26,1,spotify:track:3S4wKj113KHgqtZt52Dcd1,0.044,0.598,0.295,0.634,0.0,0.182,0.074,0.822,1.0,0.378,0.683,0.75,0.321,0.327,0.548,0.935,0.128,1.361
Better,Lil Yachty,2017-05-26,0,spotify:track:49EgauTc1cGkHwPGCaHh1f,0.288,0.719,0.232,0.542,0.0,0.818,0.269,0.784,1.0,0.102,0.53,0.75,0.555,0.338,0.098,0.981,0.128,1.455
Rain Interlude,Bryson Tiller,2017-05-26,1,spotify:track:13jkajO7W5ZixoVmtU2eLl,0.815,0.514,0.018,0.59,0.0,0.545,0.218,0.775,0.0,0.393,0.434,0.75,0.666,0.428,0.226,0.821,0.128,1.199
Before You Judge,Bryson Tiller,2017-05-26,1,spotify:track:55o72A8eQo8UVYHbKf9aXX,0.083,0.635,0.281,0.632,0.0,0.909,0.059,0.783,0.0,0.632,0.379,1.0,0.531,0.437,0.225,0.841,0.128,1.194
Like A Star,Lil Yachty,2017-05-26,1,spotify:track:3lyws9gtzp9ZPbTcQOfZkl,0.691,0.591,0.211,0.252,0.0,0.0,0.1,0.595,1.0,0.172,0.562,0.75,0.272,0.342,0.318,0.811,0.128,1.316
I Have Questions,Camila Cabello,2017-05-21,0,spotify:track:3NgCzSW98SsqBdpYcnm4kv,0.407,0.291,0.21,0.557,0.0,0.909,0.089,0.819,0.0,0.268,0.732,0.75,0.203,0.408,0.093,0.812,0.128,1.294
Remember I Told You,Nick Jonas,2017-05-26,1,spotify:track:5T9G49pXWTV7SHMSksvfL4,0.137,0.643,0.188,0.536,0.0,0.091,0.016,0.83,1.0,0.269,0.396,0.75,0.849,0.506,0.334,0.915,0.128,1.285
Nevermind This Interlude,Bryson Tiller,2017-05-26,1,spotify:track:0kZOgFGhGfYW5WmdiTb5VV,0.312,0.911,0.115,0.605,0.0,0.455,0.075,0.91,1.0,0.063,0.403,0.75,0.541,0.604,0.14,0.988,0.128,1.131
Harley,Lil Yachty,2017-05-26,1,spotify:track:2hfuZh5FuIOFMoUPU01fjv,0.003,0.683,0.151,0.599,0.0,0.636,0.157,0.843,1.0,0.025,0.58,0.75,0.2,0.225,0.047,0.959,0.128,1.138
Dirty Mouth,Lil Yachty,2017-05-26,1,spotify:track:2CluJTPlJ8l8LkQ7x7U1Vt,0.177,0.78,0.151,0.625,0.0,0.091,0.346,0.773,1.0,0.337,0.501,0.75,0.302,0.383,0.127,0.933,0.128,1.118
Always (Outro),Bryson Tiller,2017-05-26,1,spotify:track:5TY8TK26gzqUcVLSymvNx9,0.123,0.541,0.131,0.43,0.0,0.0,0.054,0.719,0.0,0.035,0.508,0.75,0.169,0.405,0.309,0.834,0.128,1.066
DN Freestyle,Lil Yachty,2017-05-26,1,spotify:track:0Dd1hBNUmz1KavOojPDxcN,0.048,0.665,0.11,0.597,0.0,0.091,0.101,0.788,1.0,0.208,0.384,0.75,0.234,0.333,0.106,0.922,0.128,1.054
Cut To The Feeling,Carly Rae Jepsen,2017-05-26,0,spotify:track:6EJiVf7U0p1BBfs0qqeb1f,0.014,0.674,0.195,0.921,0.001,0.182,0.299,0.915,1.0,0.043,0.409,0.75,0.652,0.621,0.036,0.952,0.128,1.007
Your Song,Rita Ora,2017-05-25,0,spotify:track:4c2W3VKsOFoIg2SFaO6DY5,0.159,0.849,0.165,0.628,0.0,0.091,0.032,0.877,1.0,0.027,0.427,0.75,0.981,0.379,0.243,0.914,0.128,1.635
Both Eyes Closed (feat. 2 Chainz and Young Dolph),Gucci Mane,2017-05-26,1,spotify:track:5HtziFfFGxXpugCqZaAHoY,0.381,0.667,0.252,0.56,0.0,0.091,0.409,0.821,1.0,0.28,0.707,0.75,0.407,0.426,0.126,0.934,0.129,1.054
What Ifs (feat. Lauren Alaina),Kane Brown,2016-12-02,0,spotify:track:7zVCrzzEJU7u24sbJPXA5W,0.009,0.556,0.173,0.808,0.0,0.909,0.16,0.862,1.0,0.005,0.476,0.75,0.693,0.371,0.027,0.955,0.134,1.104
Down,Fifth Harmony,2017-10-29,0,spotify:track:0XQHz5C8PknyrEhyrKxVKa,0.016,0.457,0.148,0.513,0.0,0.727,0.113,0.79,1.0,0.117,0.903,0.75,0.393,0.213,0.289,0.929,0.135,2.041
Bad At Love,Halsey,2017-06-02,0,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,0.061,0.632,0.165,0.759,0.0,0.0,0.072,0.893,1.0,0.007,0.429,0.75,0.614,0.366,0.077,0.922,0.135,1.61
Whatever You Need (feat. Chris Brown & Ty Dolla $ign),Meek Mill,2017-07-21,1,spotify:track:6yMxfx9wpiuhhdb8vHDVMu,0.026,0.444,0.192,0.572,0.0,0.091,0.064,0.782,1.0,0.19,0.708,0.75,0.305,0.52,0.246,0.906,0.135,1.399
Uh Huh,Julia Michaels,2017-07-28,1,spotify:track:0oiKDZUxZn9i4jCCDmbTM2,0.162,0.753,0.163,0.668,0.0,0.364,0.049,0.855,1.0,0.178,0.548,0.75,0.567,0.507,0.098,0.99,0.135,1.154
Perfect Places,Lorde,2017-06-16,1,spotify:track:7ARveOiD31w2Nq0n5FsSf8,0.002,0.568,0.21,0.583,0.0,0.091,0.096,0.843,0.0,0.029,0.344,0.75,0.509,0.554,0.108,0.872,0.135,1.448
Rake It Up,Yo Gotti,2017-10-27,1,spotify:track:4knL4iPxPOZjQzTUlELGSY,0.022,0.916,0.27,0.443,0.0,0.091,0.123,0.76,0.0,0.34,0.622,0.75,0.528,0.367,0.4,0.838,0.135,1.116
Alone,Halsey,2018-03-15,0,spotify:track:3tbNT2X5tfMIVeUflYbZUZ,0.016,0.354,0.194,0.667,0.0,0.182,0.21,0.856,0.0,0.168,0.926,0.75,0.475,0.387,0.202,0.832,0.135,1.104
